company_id,year,horizon_years,revenue_cagr_value,revenue_cagr_flag,pat_cagr_value,pat_cagr_flag,eps_cagr_value,eps_cagr_flag
BHEL,Mar 2024,3,11.34,NORMAL,,TURNAROUND,,TURNAROUND
BHEL,Mar 2024,5,-4.73,DECLINE,-22.4,DECLINE,-19.73,DECLINE
BHEL,Mar 2024,10,-4.92,DECLINE,-22.27,DECLINE,-20.57,DECLINE
BOSCHLTD,Mar 2018,3,-1.1,DECLINE,0.82,NORMAL,1.77,NORMAL
BOSCHLTD,Mar 2020,3,-1.93,DECLINE,-27.99,DECLINE,-27.19,DECLINE
BOSCHLTD,Mar 2020,5,-4.02,DECLINE,-13.45,DECLINE,-12.38,DECLINE
BOSCHLTD,Mar 2021,3,-5.97,DECLINE,-29.42,DECLINE,-28.52,DECLINE
BOSCHLTD,Mar 2021,5,0.04,NORMAL,-20.64,DECLINE,-19.59,DECLINE
BOSCHLTD,Mar 2022,3,-0.84,DECLINE,-8.68,DECLINE,-8.66,DECLINE
BOSCHLTD,Mar 2022,5,2.46,NORMAL,-6.91,DECLINE,-6.24,DECLINE
BPCL,Mar 2016,3,-8.13,DECLINE,61.06,NORMAL,68.1,NORMAL
BPCL,Mar 2017,3,-8.7,DECLINE,32.87,NORMAL,30.5,NORMAL
BPCL,Mar 2018,3,-0.93,DECLINE,24.44,NORMAL,24.05,NORMAL
BPCL,Mar 2018,5,-0.52,DECLINE,38.29,NORMAL,39.33,NORMAL
BPCL,Mar 2019,3,16.66,NORMAL,1.78,NORMAL,-1.79,DECLINE
BPCL,Mar 2020,3,12.24,NORMAL,-27.21,DECLINE,-29.53,DECLINE
BPCL,Mar 2020,5,3.24,NORMAL,-6.32,DECLINE,-8.64,DECLINE
BPCL,Mar 2021,3,-0.82,DECLINE,20.94,NORMAL,20.78,NORMAL
BPCL,Mar 2023,3,18.47,NORMAL,-16.54,DECLINE,-10.61,DECLINE
BPCL,Mar 2023,5,14.94,NORMAL,-26.29,DECLINE,-24.95,DECLINE
CANBK,Mar 2016,3,8.93,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
CANBK,Mar 2017,3,1.56,NORMAL,-19.17,DECLINE,-20.63,DECLINE
CANBK,Mar 2018,3,-1.91,DECLINE,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
CANBK,Mar 2018,5,3.95,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
CANBK,Mar 2019,3,2.88,NORMAL,,TURNAROUND,,TURNAROUND
CANBK,Mar 2019,5,3.92,NORMAL,-23.59,DECLINE,-27.52,DECLINE
CANBK,Mar 2020,3,6.27,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
CANBK,Mar 2020,5,2.58,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
CANBK,Mar 2021,3,19.33,NORMAL,,TURNAROUND,,TURNAROUND
CANBK,Mar 2021,5,9.79,NORMAL,,TURNAROUND,,TURNAROUND
CANBK,Mar 2023,3,19.95,NORMAL,,TURNAROUND,,TURNAROUND
CANBK,Mar 2023,5,15.74,NORMAL,,TURNAROUND,,TURNAROUND
CANBK,Mar 2023,10,9.69,NORMAL,14.25,NORMAL,,INSUFFICIENT_DATA
CIPLA,Mar 2016,3,18.54,NORMAL,-3.62,DECLINE,-3.64,DECLINE
CIPLA,Mar 2017,3,12.26,NORMAL,-9.66,DECLINE,-8.55,DECLINE
CIPLA,Mar 2018,5,12.86,NORMAL,-1.71,DECLINE,-1.08,DECLINE
COALINDIA,Mar 2016,3,4.46,NORMAL,-6.32,DECLINE,-5.2,DECLINE
COALINDIA,Mar 2017,3,3.45,NORMAL,-15.0,DECLINE,-14.5,DECLINE
COALINDIA,Mar 2018,3,4.77,NORMAL,-19.96,DECLINE,-20.63,DECLINE
COALINDIA,Mar 2018,5,4.53,NORMAL,-16.52,DECLINE,-16.44,DECLINE
COALINDIA,Mar 2021,5,2.95,NORMAL,-2.3,DECLINE,-1.8,DECLINE
COALINDIA,Mar 2022,3,3.28,NORMAL,-0.16,DECLINE,,INSUFFICIENT_DATA
DABUR,Mar 2018,3,-0.31,DECLINE,8.34,NORMAL,10.06,NORMAL
DABUR,Mar 2024,3,9.06,NORMAL,2.23,NORMAL,,INSUFFICIENT_DATA
DIVISLAB,Mar 2024,3,4.03,NORMAL,-6.92,DECLINE,-7.17,DECLINE
DLF,Mar 2016,3,8.49,NORMAL,-22.96,DECLINE,-20.63,DECLINE
DLF,Mar 2017,3,-0.31,DECLINE,6.27,NORMAL,,INSUFFICIENT_DATA
DLF,Mar 2018,3,-4.29,DECLINE,106.69,NORMAL,102.74,NORMAL
DLF,Mar 2018,5,-2.91,DECLINE,46.34,NORMAL,44.27,NORMAL
DLF,Mar 2019,3,-5.54,DECLINE,62.72,NORMAL,44.22,NORMAL
DLF,Mar 2020,3,-9.55,DECLINE,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
DLF,Mar 2020,5,-4.48,DECLINE,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
DLF,Mar 2021,3,-6.89,DECLINE,-37.69,DECLINE,-45.71,DECLINE
DLF,Mar 2021,5,-11.42,DECLINE,28.84,NORMAL,14.87,NORMAL
DLF,Mar 2022,3,-11.92,DECLINE,4.51,NORMAL,,INSUFFICIENT_DATA
DLF,Mar 2022,5,-7.01,DECLINE,16.2,NORMAL,8.45,NORMAL
